locus_tag	ftype	length_bp	gene	EC_number	COG	product
EIEOCHKN_00691	CDS	1440	purF	2.4.2.14		Amidophosphoribosyltransferase
EIEOCHKN_00692	CDS	1032	purM	6.3.3.1	COG0150	Phosphoribosylformylglycinamidine cyclo-ligase
EIEOCHKN_00693	CDS	573	purN	2.1.2.2		Phosphoribosylglycinamide formyltransferase
EIEOCHKN_00694	CDS	1542	purH			Bifunctional purine biosynthesis protein PurH
EIEOCHKN_00695	CDS	1248	purD	6.3.4.13	COG0151	Phosphoribosylamine--glycine ligase
EIEOCHKN_00696	CDS	330				hypothetical protein
EIEOCHKN_00697	CDS	735				hypothetical protein
EIEOCHKN_00698	CDS	522	queT_2		COG4708	Queuosine precursor transporter QueT
EIEOCHKN_00699	CDS	765		1.1.1.391	COG1028	3-beta-hydroxycholanate 3-dehydrogenase (NAD(+)) 2
EIEOCHKN_00700	CDS	234				hypothetical protein
EIEOCHKN_00701	CDS	663	yigZ		COG1739	IMPACT family member YigZ
EIEOCHKN_00702	CDS	288				hypothetical protein
EIEOCHKN_00703	CDS	297	celA_1	2.7.1.205		PTS system cellobiose-specific EIIB component
EIEOCHKN_00704	CDS	1317	comFA	3.6.4.12	COG4098	ComF operon protein 1
EIEOCHKN_00705	CDS	687				hypothetical protein
EIEOCHKN_00706	CDS	552	hpf			Ribosome hibernation promotion factor
EIEOCHKN_00707	CDS	2538	secA		COG0653	Protein translocase subunit SecA
EIEOCHKN_00708	CDS	984	prfB			Peptide chain release factor 2
EIEOCHKN_00709	CDS	687	ftsE		COG2884	Cell division ATP-binding protein FtsE
EIEOCHKN_00710	CDS	885	ftsX		COG2177	Cell division protein FtsX
EIEOCHKN_00711	CDS	855	pstS1_1		COG0226	Phosphate-binding protein PstS 1
EIEOCHKN_00712	CDS	921	pstC1		COG0573	Phosphate transport system permease protein PstC 1
EIEOCHKN_00713	CDS	885				hypothetical protein
EIEOCHKN_00714	CDS	810	pstB3_1	7.3.2.1	COG1117	Phosphate import ATP-binding protein PstB 3
EIEOCHKN_00715	CDS	759	pstB3_2	7.3.2.1	COG1117	Phosphate import ATP-binding protein PstB 3
EIEOCHKN_00716	CDS	678	phoU		COG0704	Phosphate-specific transport system accessory protein PhoU 
EIEOCHKN_00717	CDS	1602				hypothetical protein
EIEOCHKN_00718	CDS	324				hypothetical protein
EIEOCHKN_00719	CDS	357				hypothetical protein
EIEOCHKN_00720	CDS	963	uvrC_1			UvrABC system protein C
EIEOCHKN_00721	CDS	936	hprK	2.7.11.-	COG1493	HPr kinase/phosphorylase
EIEOCHKN_00722	CDS	837	lgt	2.5.1.145	COG0682	Phosphatidylglycerol--prolipoprotein diacylglyceryl transferase
EIEOCHKN_00723	CDS	1023	gpsA	1.1.1.94	COG0240	Glycerol-3-phosphate dehydrogenase [NAD(P)+]
EIEOCHKN_00724	CDS	897	gtaB	2.7.7.9		UTP--glucose-1-phosphate uridylyltransferase
EIEOCHKN_00725	CDS	432				hypothetical protein
EIEOCHKN_00726	CDS	588				hypothetical protein
EIEOCHKN_00727	CDS	1104	pepQ	3.4.13.9	COG0006	Xaa-Pro dipeptidase
EIEOCHKN_00728	CDS	1002	ccpA_1		COG1609	Catabolite control protein A
EIEOCHKN_00729	CDS	2379	mtgA	2.4.1.129		Biosynthetic peptidoglycan transglycosylase
EIEOCHKN_00730	CDS	1263	tyrS1	6.1.1.1	COG0162	Tyrosine--tRNA ligase 1
EIEOCHKN_00731	CDS	663				hypothetical protein
EIEOCHKN_00732	CDS	468				hypothetical protein
EIEOCHKN_00733	CDS	840	nfo	3.1.21.2	COG0648	putative endonuclease 4
EIEOCHKN_00734	CDS	219				hypothetical protein
EIEOCHKN_00735	CDS	1752	yheI	3.6.3.-	COG1132	putative multidrug resistance ABC transporter ATP-binding/permease protein YheI
EIEOCHKN_00736	CDS	1785	yheH	3.6.3.-	COG1132	putative multidrug resistance ABC transporter ATP-binding/permease protein YheH
EIEOCHKN_00737	CDS	801	aroD	4.2.1.10	COG0710	3-dehydroquinate dehydratase
EIEOCHKN_00738	CDS	495	ybaK	4.2.-.-	COG2606	Cys-tRNA(Pro)/Cys-tRNA(Cys) deacylase YbaK
EIEOCHKN_00739	CDS	408	rnhA		COG0328	14.7 kDa ribonuclease H-like protein
EIEOCHKN_00740	CDS	462				hypothetical protein
EIEOCHKN_00741	CDS	207	cspD		COG1278	Cold shock protein CspD
EIEOCHKN_00742	CDS	1671	fhs1	6.3.4.3		Formate--tetrahydrofolate ligase 1
EIEOCHKN_00743	CDS	705				hypothetical protein
EIEOCHKN_00744	CDS	486	lspA	3.4.23.36	COG0597	Lipoprotein signal peptidase
EIEOCHKN_00745	CDS	906	rluD	5.4.99.23	COG0564	Ribosomal large subunit pseudouridine synthase D
EIEOCHKN_00746	CDS	537	pyrR			Bifunctional protein pyrR
EIEOCHKN_00747	CDS	1281	pyrP			Uracil permease
EIEOCHKN_00748	CDS	927	pyrB	2.1.3.2	COG0540	Aspartate carbamoyltransferase
EIEOCHKN_00749	CDS	1284	pyrC	3.5.2.3		Dihydroorotase
EIEOCHKN_00750	CDS	1104	carA	6.3.5.5		Carbamoyl-phosphate synthase small chain
EIEOCHKN_00751	CDS	3183	carB	6.3.5.5	COG0458	Carbamoyl-phosphate synthase large chain
EIEOCHKN_00752	CDS	792	pyrK		COG0543	Dihydroorotate dehydrogenase B (NAD(+)), electron transfer subunit
EIEOCHKN_00753	CDS	939	pyrDB	1.3.1.14	COG0167	Dihydroorotate dehydrogenase B (NAD(+)), catalytic subunit
EIEOCHKN_00754	CDS	714	pyrF	4.1.1.23	COG0284	Orotidine 5'-phosphate decarboxylase
EIEOCHKN_00755	CDS	633	pyrE	2.4.2.10	COG0461	Orotate phosphoribosyltransferase
EIEOCHKN_00756	CDS	699	cah	4.2.1.1	COG3338	Carbonic anhydrase
EIEOCHKN_00757	CDS	933	hdfR_2			HTH-type transcriptional regulator HdfR
EIEOCHKN_00758	CDS	1047	araR		COG1609	Arabinose metabolism transcriptional repressor
EIEOCHKN_00759	CDS	1290				hypothetical protein
EIEOCHKN_00760	CDS	2691	mngB	3.2.1.-	COG0383	Mannosylglycerate hydrolase
EIEOCHKN_00761	CDS	1179	dapX	2.6.1.-	COG0436	putative N-acetyl-LL-diaminopimelate aminotransferase
EIEOCHKN_00762	CDS	891	pstS1_2		COG0226	Phosphate-binding protein PstS 1
EIEOCHKN_00763	CDS	1776	phoR	2.7.13.3	COG0642	Alkaline phosphatase synthesis sensor protein PhoR
EIEOCHKN_00764	CDS	711	phoP_1		COG0745	Alkaline phosphatase synthesis transcriptional regulatory protein PhoP
EIEOCHKN_00765	CDS	465				hypothetical protein
EIEOCHKN_00766	CDS	339				hypothetical protein
EIEOCHKN_00767	CDS	1419	ffh		COG0541	Signal recognition particle protein
EIEOCHKN_00768	CDS	756	mta		COG0789	HTH-type transcriptional activator mta
EIEOCHKN_00769	CDS	555	chrR	1.6.5.2	COG0431	Quinone reductase
EIEOCHKN_00770	CDS	804	mshD_1	2.3.1.189		Mycothiol acetyltransferase
EIEOCHKN_00771	CDS	276	rpsP		COG0228	30S ribosomal protein S16
EIEOCHKN_00772	CDS	246				hypothetical protein
EIEOCHKN_00773	CDS	567				hypothetical protein
EIEOCHKN_00774	CDS	942	rnz	3.1.26.11	COG1234	Ribonuclease Z
EIEOCHKN_00775	CDS	789		1.-.-.-		putative oxidoreductase
EIEOCHKN_00776	CDS	468	lapA			Lipopolysaccharide assembly protein A
EIEOCHKN_00777	CDS	2313				hypothetical protein
EIEOCHKN_00778	CDS	513	apt	2.4.2.7	COG0503	Adenine phosphoribosyltransferase
EIEOCHKN_00779	CDS	198				hypothetical protein
EIEOCHKN_00780	CDS	654				hypothetical protein
EIEOCHKN_00781	CDS	843			COG1307	DegV domain-containing protein
EIEOCHKN_00782	CDS	900				hypothetical protein
EIEOCHKN_00783	CDS	645				hypothetical protein
EIEOCHKN_00784	CDS	516	msrA	1.8.4.11	COG0225	Peptide methionine sulfoxide reductase MsrA
EIEOCHKN_00785	CDS	219				hypothetical protein
EIEOCHKN_00786	CDS	1434	ctpA	3.4.21.102	COG0793	Carboxy-terminal processing protease CtpA
EIEOCHKN_00787	CDS	555	sipV	3.4.21.89	COG0681	Signal peptidase I V
EIEOCHKN_00788	CDS	444				hypothetical protein
EIEOCHKN_00789	CDS	369	mngR		COG2188	Mannosyl-D-glycerate transport/metabolism system repressor MngR
EIEOCHKN_00790	CDS	855	btuD_3	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
EIEOCHKN_00791	CDS	732				hypothetical protein
EIEOCHKN_00792	CDS	681	yknY_1	3.6.3.-	COG1136	putative ABC transporter ATP-binding protein YknY
EIEOCHKN_00793	CDS	1284				hypothetical protein
EIEOCHKN_00794	CDS	942				Zinc-type alcohol dehydrogenase-like protein
EIEOCHKN_00795	CDS	603	mhqD_1	3.1.-.-	COG0400	Putative hydrolase MhqD
EIEOCHKN_00796	CDS	963	mhqA_1	1.13.11.-	COG0346	Putative ring-cleaving dioxygenase MhqA
EIEOCHKN_00797	CDS	429	mhqR		COG1846	HTH-type transcriptional regulator MhqR
EIEOCHKN_00798	CDS	795	bdhA_1	1.1.1.30		D-beta-hydroxybutyrate dehydrogenase
EIEOCHKN_00799	CDS	699				hypothetical protein
EIEOCHKN_00800	CDS	723				hypothetical protein
EIEOCHKN_00801	CDS	1035				hypothetical protein
EIEOCHKN_00802	CDS	822	pta_1	2.3.1.8	COG0280	Phosphate acetyltransferase
EIEOCHKN_00803	CDS	1083	buk2	2.7.2.7	COG3426	putative butyrate kinase 2
EIEOCHKN_00804	CDS	1410	lpdG	1.8.1.4	COG1249	Dihydrolipoyl dehydrogenase
EIEOCHKN_00805	CDS	987	bfmBAA	1.2.4.4	COG1071	2-oxoisovalerate dehydrogenase subunit alpha
EIEOCHKN_00806	CDS	987	bfmBAB	1.2.4.4	COG0022	2-oxoisovalerate dehydrogenase subunit beta
EIEOCHKN_00807	CDS	1299	pdhC	2.3.1.12	COG0508	Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex
EIEOCHKN_00808	CDS	1053				hypothetical protein
EIEOCHKN_00809	CDS	891	cynR_1			HTH-type transcriptional regulator CynR
EIEOCHKN_00810	CDS	942	panE_2	1.1.1.169	COG1893	2-dehydropantoate 2-reductase
EIEOCHKN_00811	CDS	852	rbgA		COG1161	Ribosome biogenesis GTPase A
EIEOCHKN_00812	CDS	768	rnhB	3.1.26.4	COG0164	Ribonuclease HII
EIEOCHKN_00813	CDS	864				hypothetical protein
EIEOCHKN_00814	CDS	654				hypothetical protein
EIEOCHKN_00815	CDS	2079	topA	5.6.2.1		DNA topoisomerase 1
EIEOCHKN_00816	CDS	1308	trmFO	2.1.1.74	COG1206	Methylenetetrahydrofolate--tRNA-(uracil-5-)-methyltransferase TrmFO
EIEOCHKN_00817	CDS	900	xerC_2		COG4974	Tyrosine recombinase XerC
EIEOCHKN_00818	CDS	549	hslV	3.4.25.2	COG5405	ATP-dependent protease subunit HslV
EIEOCHKN_00819	CDS	1404	clpY		COG1220	ATP-dependent protease ATPase subunit ClpY
EIEOCHKN_00820	CDS	783	codY		COG4465	GTP-sensing transcriptional pleiotropic repressor CodY
EIEOCHKN_00821	CDS	876	lacX			Protein LacX, plasmid
EIEOCHKN_00822	CDS	630	plsY	2.3.1.275	COG0344	Glycerol-3-phosphate acyltransferase
EIEOCHKN_00823	CDS	960	btuF			Vitamin B12-binding protein
EIEOCHKN_00824	CDS	1008	hmuU		COG0609	Hemin transport system permease protein HmuU
EIEOCHKN_00825	CDS	768	fepC		COG1120	Ferric enterobactin transport ATP-binding protein FepC
EIEOCHKN_00826	CDS	444	pduV		COG4917	Propanediol utilization protein PduV
EIEOCHKN_00827	CDS	582	yvqK	2.5.1.17	COG2096	Corrinoid adenosyltransferase
EIEOCHKN_00828	CDS	1131	adhE_1		COG1012	Aldehyde-alcohol dehydrogenase
EIEOCHKN_00829	CDS	348	pduU		COG4810	Propanediol utilization protein PduU
EIEOCHKN_00830	CDS	582	pdtaR		COG3707	putative transcriptional regulatory protein pdtaR
EIEOCHKN_00831	CDS	1434				hypothetical protein
EIEOCHKN_00832	CDS	1425	ftsA_1			Cell division protein FtsA
EIEOCHKN_00833	CDS	1365	eutB	4.3.1.7	COG4303	Ethanolamine ammonia-lyase heavy chain
EIEOCHKN_00834	CDS	912	eutC	4.3.1.7	COG4302	Ethanolamine ammonia-lyase light chain
EIEOCHKN_00835	CDS	654	eutL		COG4816	Ethanolamine utilization protein EutL
EIEOCHKN_00836	CDS	519				hypothetical protein
EIEOCHKN_00837	CDS	1479	adhE_2		COG1012	Aldehyde-alcohol dehydrogenase
EIEOCHKN_00838	CDS	291	pduA		COG4577	Propanediol utilization protein PduA
EIEOCHKN_00839	CDS	564				hypothetical protein
EIEOCHKN_00840	CDS	627	pduL	2.3.1.222	COG4869	Phosphate propanoyltransferase
EIEOCHKN_00841	CDS	600				hypothetical protein
EIEOCHKN_00842	CDS	264	ccmL			Carbon dioxide concentrating mechanism protein CcmL
EIEOCHKN_00843	CDS	1101				hypothetical protein
EIEOCHKN_00844	CDS	444	eutQ		COG4766	Ethanolamine utilization protein EutQ
EIEOCHKN_00845	CDS	429	yccU		COG1832	putative protein YccU
EIEOCHKN_00846	CDS	2058	parE	5.6.2.2	COG0187	DNA topoisomerase 4 subunit B
EIEOCHKN_00847	CDS	2463	parC	5.6.2.2	COG0188	DNA topoisomerase 4 subunit A
EIEOCHKN_00848	CDS	2247	pflB	2.3.1.54		Formate acetyltransferase
EIEOCHKN_00849	CDS	765	pflA	1.97.1.4		Pyruvate formate-lyase-activating enzyme
EIEOCHKN_00850	CDS	927	ppaC	3.6.1.1	COG1227	putative manganese-dependent inorganic pyrophosphatase
EIEOCHKN_00851	CDS	885				hypothetical protein
EIEOCHKN_00852	CDS	552				hypothetical protein
EIEOCHKN_00853	CDS	1461	clsA	2.7.8.-	COG1502	Major cardiolipin synthase ClsA
EIEOCHKN_00854	CDS	1881	bglF_2		COG1263	PTS system beta-glucoside-specific EIIBCA component
EIEOCHKN_00855	CDS	1410	bglC_1	3.2.1.86	COG2723	Aryl-phospho-beta-D-glucosidase BglC
EIEOCHKN_00856	CDS	162				hypothetical protein
EIEOCHKN_00857	CDS	984	degA_1		COG1609	HTH-type transcriptional regulator DegA
EIEOCHKN_00858	CDS	1473	scrB	3.2.1.26		Sucrose-6-phosphate hydrolase
EIEOCHKN_00859	CDS	1674	malL_1	3.2.1.10	COG0366	Oligo-1,6-glucosidase
EIEOCHKN_00860	CDS	1929	bglF_3		COG1263	PTS system beta-glucoside-specific EIIBCA component
EIEOCHKN_00861	CDS	846				hypothetical protein
EIEOCHKN_00862	CDS	1434	phrB	4.1.99.3	COG0415	Deoxyribodipyrimidine photo-lyase
EIEOCHKN_00863	CDS	1437	katA	1.11.1.6	COG0753	Vegetative catalase
EIEOCHKN_00864	CDS	1011				hypothetical protein
EIEOCHKN_00865	CDS	426	rppH_2	3.6.1.-		RNA pyrophosphohydrolase
EIEOCHKN_00866	CDS	1779			COG1132	putative ABC transporter ATP-binding protein
EIEOCHKN_00867	CDS	1749			COG1132	putative ABC transporter ATP-binding protein
EIEOCHKN_00868	CDS	819	rhaS_2			HTH-type transcriptional activator RhaS
EIEOCHKN_00869	CDS	528	paiA_1	2.3.1.57	COG0454	Spermidine/spermine N(1)-acetyltransferase
EIEOCHKN_00870	CDS	609				hypothetical protein
EIEOCHKN_00871	CDS	1341	nox	1.6.99.3	COG0446	NADH oxidase
EIEOCHKN_00872	CDS	444	perR		COG0735	Peroxide operon regulator
EIEOCHKN_00873	CDS	933	cysK	2.5.1.47		Cysteine synthase
EIEOCHKN_00874	CDS	861		3.2.1.-	COG1388	Autolysin
EIEOCHKN_00875	CDS	1191				putative transporter
EIEOCHKN_00876	CDS	1995	tkt	2.2.1.1		Transketolase
EIEOCHKN_00877	CDS	243				hypothetical protein
EIEOCHKN_00878	CDS	621	lexA	3.4.21.88	COG1974	LexA repressor
EIEOCHKN_00879	CDS	1170	queG	1.17.99.6	COG1600	Epoxyqueuosine reductase
EIEOCHKN_00880	CDS	495	folA	1.5.1.3		Dihydrofolate reductase
EIEOCHKN_00881	CDS	948	thyA	2.1.1.45	COG0207	Thymidylate synthase
EIEOCHKN_00882	CDS	1896	ettA		COG0488	Energy-dependent translational throttle protein EttA
EIEOCHKN_00883	CDS	2055	nhaK		COG0025	Sodium, potassium, lithium and rubidium/H(+) antiporter
EIEOCHKN_00884	CDS	267				hypothetical protein
EIEOCHKN_00885	CDS	477				hypothetical protein
EIEOCHKN_00886	CDS	195				hypothetical protein
EIEOCHKN_00887	CDS	849	degV_1		COG1307	Protein DegV
EIEOCHKN_00888	CDS	1173	tagU_2	2.7.8.-		Polyisoprenyl-teichoic acid--peptidoglycan teichoic acid transferase TagU
EIEOCHKN_00889	CDS	849	pheA			Bifunctional chorismate mutase/prephenate dehydratase
EIEOCHKN_00890	CDS	507	aroK	2.7.1.71	COG0703	Shikimate kinase
EIEOCHKN_00891	CDS	1281	aroA	2.5.1.19	COG0128	3-phosphoshikimate 1-carboxyvinyltransferase
EIEOCHKN_00892	CDS	1095				hypothetical protein
EIEOCHKN_00893	CDS	1167	aroC	4.2.3.5	COG0082	Chorismate synthase
EIEOCHKN_00894	CDS	1077	aroB	4.2.3.4	COG0337	3-dehydroquinate synthase
EIEOCHKN_00895	CDS	1026	aroF	2.5.1.54	COG2876	Phospho-2-dehydro-3-deoxyheptonate aldolase
EIEOCHKN_00896	CDS	867	aroE	1.1.1.25	COG0169	Shikimate dehydrogenase (NADP(+))
EIEOCHKN_00897	CDS	456				hypothetical protein
EIEOCHKN_00898	CDS	375	flK	3.1.2.29	COG5496	Fluoroacetyl-CoA thioesterase
EIEOCHKN_00899	CDS	1275	cca	2.7.7.72		CCA-adding enzyme
EIEOCHKN_00900	CDS	780	dapB	1.17.1.8	COG0289	4-hydroxy-tetrahydrodipicolinate reductase
EIEOCHKN_00901	CDS	351	ypjD		COG1694	putative protein YpjD
EIEOCHKN_00902	CDS	885				hypothetical protein
EIEOCHKN_00903	CDS	540				hypothetical protein
EIEOCHKN_00904	CDS	1257	bepA	3.4.-.-		Beta-barrel assembly-enhancing protease
EIEOCHKN_00905	CDS	1041				hypothetical protein
EIEOCHKN_00906	CDS	276	hup		COG0776	DNA-binding protein HU
EIEOCHKN_00907	CDS	1311	der		COG1160	GTPase Der
EIEOCHKN_00908	CDS	1212	ypfD		COG0539	30S ribosomal protein S1 
EIEOCHKN_00909	CDS	681	cmk	2.7.4.25	COG0283	Cytidylate kinase
EIEOCHKN_00910	CDS	624				hypothetical protein
EIEOCHKN_00911	CDS	1437	recQ_2	3.6.4.12	COG0514	ATP-dependent DNA helicase RecQ
EIEOCHKN_00912	CDS	1035				hypothetical protein
EIEOCHKN_00913	CDS	219	suaB			Ferredoxin-1
EIEOCHKN_00914	CDS	1407				hypothetical protein
EIEOCHKN_00915	CDS	606	fmnP		COG3601	Riboflavin transporter FmnP
EIEOCHKN_00916	CDS	717	rluB	5.4.99.22	COG1187	Ribosomal large subunit pseudouridine synthase B
EIEOCHKN_00917	CDS	606	scpB			Segregation and condensation protein B
EIEOCHKN_00918	CDS	786	scpA		COG1354	Segregation and condensation protein A
EIEOCHKN_00919	CDS	891	xerD			Tyrosine recombinase XerD
EIEOCHKN_00920	CDS	930	menH_1	4.2.99.20		2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase
EIEOCHKN_00921	CDS	1092				hypothetical protein
EIEOCHKN_00922	CDS	750				hypothetical protein
EIEOCHKN_00923	CDS	375				hypothetical protein
EIEOCHKN_00924	CDS	540				hypothetical protein
EIEOCHKN_00925	CDS	1299	licC_1		COG1455	Lichenan permease IIC component
EIEOCHKN_00926	CDS	303				hypothetical protein
EIEOCHKN_00927	CDS	1317	obg	3.6.5.-	COG0536	GTPase Obg
EIEOCHKN_00928	CDS	1011	gap_2	1.2.1.12		Glyceraldehyde-3-phosphate dehydrogenase
EIEOCHKN_00929	CDS	450	fur		COG0735	Ferric uptake regulation protein
EIEOCHKN_00930	CDS	882	cvfB			Conserved virulence factor B
EIEOCHKN_00931	CDS	2064	mapZ			Mid-cell-anchored protein Z
EIEOCHKN_00932	CDS	1107	sigA		COG0568	RNA polymerase sigma factor SigA
EIEOCHKN_00933	CDS	1887	dnaG	2.7.7.-	COG0358	DNA primase
EIEOCHKN_00934	CDS	2337	ctpE_1	7.2.2.10	COG0474	Calcium-transporting ATPase CtpE
EIEOCHKN_00935	CDS	618				hypothetical protein
EIEOCHKN_00936	CDS	690	alsE	5.1.3.-	COG0036	D-allulose-6-phosphate 3-epimerase
EIEOCHKN_00937	CDS	1101	fruA_1		COG1299	PTS system fructose-specific EIIB'BC component
EIEOCHKN_00938	CDS	450	manP_1		COG1299	PTS system mannose-specific EIIBCA component
EIEOCHKN_00939	CDS	318	manP_2		COG1299	PTS system mannose-specific EIIBCA component
EIEOCHKN_00940	CDS	453	fryA		COG1080	Multiphosphoryl transfer protein 1
EIEOCHKN_00941	CDS	1482	manR		COG1762	Transcriptional regulator ManR
EIEOCHKN_00942	CDS	1998	ptsG_1	2.7.1.199		PTS system glucose-specific EIICBA component
EIEOCHKN_00943	CDS	834	sacY		COG3711	Levansucrase and sucrase synthesis operon antiterminator
EIEOCHKN_00944	CDS	1653	dppE_3		COG4166	Dipeptide-binding protein DppE
EIEOCHKN_00945	CDS	1377				hypothetical protein
EIEOCHKN_00946	CDS	1065		5.1.1.-	COG4948	Hydrophobic dipeptide epimerase
EIEOCHKN_00947	CDS	345				hypothetical protein
EIEOCHKN_00948	CDS	540				hypothetical protein
EIEOCHKN_00949	CDS	855				hypothetical protein
EIEOCHKN_00950	CDS	534				hypothetical protein
EIEOCHKN_00951	CDS	999	menH_2	4.2.99.20		2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase
EIEOCHKN_00952	CDS	1293	lysA	4.1.1.20	COG0019	Diaminopimelate decarboxylase
EIEOCHKN_00953	CDS	1881	fbp	3.1.3.11	COG3855	Fructose-1,6-bisphosphatase class 3
EIEOCHKN_00954	CDS	942				hypothetical protein
EIEOCHKN_00955	CDS	411				hypothetical protein
EIEOCHKN_00956	CDS	636	ntpD			V-type sodium ATPase subunit D
EIEOCHKN_00957	CDS	1377	ntpB			V-type sodium ATPase subunit B
EIEOCHKN_00958	CDS	1782	ntpA	7.2.2.1		V-type sodium ATPase catalytic subunit A
EIEOCHKN_00959	CDS	312	ntpG			V-type sodium ATPase subunit G
EIEOCHKN_00960	CDS	1002	ntpC			V-type sodium ATPase subunit C
EIEOCHKN_00961	CDS	582	atpE_2			V-type proton ATPase subunit E
EIEOCHKN_00962	CDS	474	ntpK			V-type sodium ATPase subunit K
EIEOCHKN_00963	CDS	1980				hypothetical protein
EIEOCHKN_00964	CDS	324				hypothetical protein
EIEOCHKN_00965	CDS	444			COG1780	Putative NrdI-like protein
EIEOCHKN_00966	CDS	180				hypothetical protein
EIEOCHKN_00967	CDS	1350	pgi	5.3.1.9	COG0166	Glucose-6-phosphate isomerase
EIEOCHKN_00968	CDS	1347	gdh_2	1.4.1.4	COG0334	NADP-specific glutamate dehydrogenase
EIEOCHKN_00969	CDS	1059				hypothetical protein
EIEOCHKN_00970	CDS	1287			COG2081	putative protein
EIEOCHKN_00971	CDS	1449	expZ		COG0488	Nucleotide-binding protein ExpZ
EIEOCHKN_00972	CDS	435				hypothetical protein
EIEOCHKN_00973	CDS	1395	licH	3.2.1.86	COG1486	putative 6-phospho-beta-glucosidase
EIEOCHKN_00974	CDS	999	ccpA_2		COG1609	Catabolite control protein A
EIEOCHKN_00975	CDS	1263	yhaP_1		COG1668	putative protein YhaP
EIEOCHKN_00976	CDS	900		7.6.2.-	COG1131	Multidrug efflux system ATP-binding protein
EIEOCHKN_00977	CDS	258				hypothetical protein
EIEOCHKN_00978	CDS	1797	uvrC_2		COG0322	UvrABC system protein C
EIEOCHKN_00979	CDS	315	trxA		COG0526	Thioredoxin
EIEOCHKN_00980	CDS	2367	mutS2_1	3.1.-.-		Endonuclease MutS2
EIEOCHKN_00981	CDS	549				hypothetical protein
EIEOCHKN_00982	CDS	444	zapA			Cell division protein ZapA
EIEOCHKN_00983	CDS	2103	cadA	3.6.3.3	COG2217	Cadmium, zinc and cobalt-transporting ATPase
EIEOCHKN_00984	CDS	1005	btuD_4	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
EIEOCHKN_00985	CDS	672	modB		COG4149	Molybdenum transport system permease protein ModB
EIEOCHKN_00986	CDS	801	modA		COG0725	Molybdate-binding protein ModA
EIEOCHKN_00987	CDS	972	cinA_1			Putative competence-damage inducible protein
EIEOCHKN_00988	CDS	483	mog	2.7.7.75	COG0521	Molybdopterin adenylyltransferase
EIEOCHKN_00989	CDS	435				hypothetical protein
EIEOCHKN_00990	CDS	966	moaA	4.1.99.22	COG2896	GTP 3',8-cyclase
EIEOCHKN_00991	CDS	510	moaC	4.6.1.17	COG0315	Cyclic pyranopterin monophosphate synthase
EIEOCHKN_00992	CDS	1203	moaE2	2.10.1.1	COG0303	Molybdopterin molybdenumtransferase 2
EIEOCHKN_00993	CDS	2721	napA_1	1.9.6.1		Periplasmic nitrate reductase
EIEOCHKN_00994	CDS	1299	hndC	1.12.1.3	COG1145	NADP-reducing hydrogenase subunit HndC
EIEOCHKN_00995	CDS	489	hndA	1.12.1.3	COG1905	NADP-reducing hydrogenase subunit HndA
EIEOCHKN_00996	CDS	582				hypothetical protein
EIEOCHKN_00997	CDS	825				hypothetical protein
EIEOCHKN_00998	CDS	516	mobA	2.7.7.77		putative molybdenum cofactor guanylyltransferase
EIEOCHKN_00999	CDS	1029				hypothetical protein
EIEOCHKN_01000	CDS	267				hypothetical protein
EIEOCHKN_01001	CDS	1230	pepT_1	3.4.11.4		Peptidase T
EIEOCHKN_01002	CDS	1119			COG0327	GTP cyclohydrolase 1 type 2 
EIEOCHKN_01003	CDS	717	trmK	2.1.1.217	COG2384	tRNA (adenine(22)-N(1))-methyltransferase
EIEOCHKN_01004	CDS	2643	alaS	6.1.1.7		Alanine--tRNA ligase
EIEOCHKN_01005	CDS	684				hypothetical protein
EIEOCHKN_01006	CDS	1350	cshB	3.6.4.13	COG0513	DEAD-box ATP-dependent RNA helicase CshB
EIEOCHKN_01007	CDS	1182				hypothetical protein
EIEOCHKN_01008	CDS	312				hypothetical protein
EIEOCHKN_01009	CDS	339				hypothetical protein
EIEOCHKN_01010	CDS	954	nrnA	3.1.-.-	COG0618	putative bifunctional oligoribonuclease and PAP phosphatase NrnA
EIEOCHKN_01011	CDS	1320	IMPDH	1.1.1.205		Inosine-5'-monophosphate dehydrogenase
EIEOCHKN_01012	CDS	675				hypothetical protein
EIEOCHKN_01013	CDS	1434	ribZ			Riboflavin transporter RibZ
EIEOCHKN_01014	CDS	351				hypothetical protein
EIEOCHKN_01015	CDS	1122				hypothetical protein
EIEOCHKN_01016	CDS	201	cspLA_1		COG1278	Cold shock-like protein CspLA
EIEOCHKN_01017	CDS	1206				hypothetical protein
EIEOCHKN_01018	CDS	1053				hypothetical protein
EIEOCHKN_01019	CDS	2412	fadA	2.3.1.16		3-ketoacyl-CoA thiolase
EIEOCHKN_01020	CDS	1152	mvaS	2.3.3.10	COG3425	Hydroxymethylglutaryl-CoA synthase
EIEOCHKN_01021	CDS	768				hypothetical protein
EIEOCHKN_01022	CDS	603	dhaL	2.7.1.121	COG2376	PTS-dependent dihydroxyacetone kinase, ADP-binding subunit DhaL
EIEOCHKN_01023	CDS	984	dhaK	2.7.1.121	COG2376	PTS-dependent dihydroxyacetone kinase, dihydroxyacetone-binding subunit DhaK
